,0
0,False
1,True
2,False
3,False
4,False
5,True
6,True
7,False
8,False
9,True
10,False
11,True
12,False
13,True
14,False
15,False
16,False
17,False
18,True
19,False
20,True
21,True
22,False
23,False
24,False
25,False
26,True
27,False
28,True
29,True
30,False
31,False
32,True
33,True
34,False
35,True
36,True
37,False
38,True
39,False
40,True
41,False
42,False
43,True
44,False
45,False
46,False
47,False
48,False
49,True
50,False
51,False
52,False
53,True
54,False
55,False
56,False
57,True
58,True
59,False
60,False
61,False
62,True
63,True
64,False
65,False
66,False
67,False
68,False
69,True
70,False
71,False
72,False
73,False
74,False
75,False
76,False
77,False
78,False
79,False
80,False
81,False
82,True
83,False
84,True
85,False
86,True
87,False
88,False
89,True
90,False
91,True
92,True
93,False
94,False
95,False
96,True
97,False
98,False
99,False
100,False
101,False
102,False
103,False
104,False
105,True
106,True
107,False
108,False
109,True
110,True
111,True
112,True
113,False
114,False
115,True
116,True
117,False
118,True
119,True
120,True
121,True
122,False
123,False
124,False
125,False
126,False
127,True
128,False
129,True
130,False
131,True
132,False
133,True
134,False
135,False
136,True
137,False
138,False
139,False
140,False
141,False
142,False
143,False
144,False
145,False
146,False
147,True
148,True
149,False
150,True
151,False
152,False
153,False
154,False
155,True
156,False
157,False
158,False
159,True
160,False
161,False
162,False
163,True
164,True
165,True
166,False
167,False
168,False
169,False
170,False
171,False
172,True
173,True
174,False
175,False
176,False
177,False
178,False
179,True
180,False
181,True
182,False
183,False
184,True
185,False
186,False
187,False
188,False
189,True
190,False
191,False
192,False
193,False
194,True
195,False
196,False
197,False
198,True
199,False
200,False
201,False
202,False
203,False
204,True
205,False
206,False
207,False
208,False
209,False
210,False
211,True
212,True
213,True
214,False
215,False
216,False
217,False
218,False
219,False
220,False
221,False
222,False
223,True
224,False
225,True
226,False
227,True
228,False
229,False
230,False
231,False
232,False
233,False
234,False
235,False
236,False
237,True
238,False
239,False
240,True
241,True
242,False
243,False
244,False
245,False
246,True
247,False
248,True
249,True
250,False
251,False
252,True
253,False
254,False
255,False
256,True
257,False
258,False
259,False
260,False
261,False
262,False
263,True
264,False
265,False
266,True
267,False
268,True
269,True
270,False
271,False
272,False
273,True
274,False
275,True
276,False
277,True
278,True
279,False
280,False
281,True
282,False
283,True
284,True
285,False
286,False
287,False
288,True
289,True
290,False
291,False
292,False
293,False
294,True
295,False
296,False
297,False
298,False
299,False
300,True
301,False
302,True
303,False
304,False
305,False
306,True
307,False
308,False
309,False
310,True
311,False
312,True
313,True
314,False
315,False
316,False
317,True
318,True
319,True
320,False
321,True
322,False
323,False
324,False
325,True
326,True
327,False
328,False
329,True
330,True
331,False
332,True
333,False
334,False
335,True
336,False
337,False
338,False
339,False
340,False
341,True
342,False
343,False
344,False
345,False
346,False
347,False
348,False
349,False
350,True
351,False
352,False
353,False
354,True
355,True
356,True
357,False
358,True
359,True
360,True
361,False
362,True
363,False
364,False
365,False
366,True
367,False
368,False
369,True
370,True
371,True
372,False
373,True
374,False
375,False
376,False
377,False
378,True
379,False
380,False
381,False
382,True
383,True
384,False
385,False
386,False
387,True
388,False
389,False
390,True
391,False
392,False
393,False
394,False
395,True
396,False
397,True
398,False
399,True
400,False
401,False
402,False
403,False
404,True
405,False
406,False
407,False
408,False
409,True
410,False
411,False
412,False
413,False
414,False
415,False
416,True
417,False
418,True
419,False
420,True
421,False
422,True
423,True
424,False
425,True
426,False
427,False
428,True
429,False
430,False
431,True
432,True
433,False
434,True
435,False
436,False
437,False
438,False
439,False
440,False
441,False
442,False
443,True
444,False
445,True
446,True
447,False
448,False
449,False
450,False
451,False
452,False
453,False
454,False
455,False
456,False
457,True
458,False
459,True
460,False
461,False
462,True
463,False
464,False
465,False
466,True
467,False
468,True
469,False
470,True
471,False
472,False
473,True
474,False
475,False
476,True
477,False
478,False
479,False
480,False
481,False
482,True
483,False
484,True
485,False
486,False
487,False
488,True
489,False
490,True
491,False
492,False
493,False
494,False
495,False
496,True
497,False
498,False
499,True
500,False
501,False
502,True
503,True
504,False
505,True
506,True
507,False
508,False
509,True
510,True
511,False
512,False
513,False
514,False
515,True
516,True
517,False
518,False
519,False
520,False
521,False
522,True
523,False
524,False
525,False
526,True
527,False
528,False
529,True
530,False
531,False
532,True
533,False
534,False
535,True
536,True
537,False
538,False
539,False
540,False
541,False
542,True
